0.00.032.112 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.032.692 I srv          init: The UI is disabled
0.00.032.694 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.033.001 W srv  llama_server: -----------------
0.00.033.002 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.033.003 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.033.003 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.033.003 W srv  llama_server: -----------------
0.00.034.511 I srv    load_model: loading model '<HOME>/.lmstudio/models/Qwen/Qwen3-8B-GGUF/Qwen3-8B-Q4_K_M.gguf'
0.00.342.168 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.030.542 I cmn          init: llama threadpool init, n_threads = 10
0.01.174.747 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.01.186.203 I srv  llama_server: model loaded
0.01.186.209 I srv  llama_server: listening on http://127.0.0.1:1236
0.02.097.496 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.097.652 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.08.187.792 I slot print_timing: id  0 | task 0 | n_gen =    119, tg =  39.16 t/s, tg_3s =  39.49 t/s
0.11.190.040 I slot print_timing: id  0 | task 0 | n_gen =    237, tg =  39.23 t/s, tg_3s =  39.30 t/s
0.14.190.871 I slot print_timing: id  0 | task 0 | n_gen =    354, tg =  39.15 t/s, tg_3s =  38.99 t/s
0.15.508.330 I slot print_timing: id  0 | task 0 | prompt eval time =    3077.01 ms /  3318 tokens (    0.93 ms per token,  1078.32 tokens per second)
0.15.508.334 I slot print_timing: id  0 | task 0 |        eval time =   10333.60 ms /   405 tokens (   25.58 ms per token,    39.10 tokens per second)
0.15.508.335 I slot print_timing: id  0 | task 0 |       total time =   13410.61 ms /  3723 tokens
0.15.508.342 I slot print_timing: id  0 | task 0 |    graphs reused =        402
0.15.508.548 I slot      release: id  0 | task 0 | stop processing: n_tokens = 3722, truncated = 0
0.15.526.071 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.891
0.15.526.213 I slot launch_slot_: id  0 | task 412 | processing task, is_child = 0
0.21.690.468 I slot print_timing: id  0 | task 412 | n_gen =    116, tg =  38.17 t/s, tg_3s =  38.50 t/s
0.24.706.702 I slot print_timing: id  0 | task 412 | n_gen =    230, tg =  37.98 t/s, tg_3s =  37.80 t/s
0.27.725.476 I slot print_timing: id  0 | task 412 | n_gen =    344, tg =  37.91 t/s, tg_3s =  37.76 t/s
0.29.239.014 I slot print_timing: id  0 | task 412 | prompt eval time =    3151.21 ms /  3318 tokens (    0.95 ms per token,  1052.93 tokens per second)
0.29.239.022 I slot print_timing: id  0 | task 412 |        eval time =   10561.53 ms /   401 tokens (   26.40 ms per token,    37.87 tokens per second)
0.29.239.023 I slot print_timing: id  0 | task 412 |       total time =   13712.74 ms /  3719 tokens
0.29.239.025 I slot print_timing: id  0 | task 412 |    graphs reused =        799
0.29.239.340 I slot      release: id  0 | task 412 | stop processing: n_tokens = 3718, truncated = 0
0.29.245.633 I srv    operator(): operator(): cleaning up before exit...
