model,profile,test,depth,mean_tps,sd_tps,samples,repetitions
qwen8,balanced,pp512,0,1276.345405,2.617558,"[1273.63, 1279.26, 1279.04, 1274.72, 1275.07]",5
qwen8,balanced,tg256,0,43.689496,0.057967,"[43.6219, 43.6968, 43.6757, 43.6723, 43.7808]",5
qwen8,balanced,tg256,2048,41.00396,0.029701,"[40.957, 41.0099, 41.0037, 41.0393, 41.0099]",5
qwen8,performance,pp512,0,1201.729358,15.183818,"[1200.71, 1198.87, 1226.03, 1199.06, 1183.97]",5
qwen8,performance,tg256,0,43.632916,0.101348,"[43.5416, 43.6288, 43.7716, 43.6906, 43.532]",5
qwen8,performance,tg256,2048,40.87813,0.085958,"[40.8137, 40.9842, 40.9323, 40.7727, 40.8878]",5
gemma26,balanced,pp512,0,1250.603272,11.860354,"[1247.47, 1240.06, 1267.2, 1258.14, 1240.14]",5
gemma26,balanced,tg256,0,52.213598,0.185566,"[52.3367, 52.1817, 51.9381, 52.4255, 52.1859]",5
gemma26,balanced,tg256,2048,47.454466,0.337476,"[46.9164, 47.5457, 47.8189, 47.3919, 47.5994]",5
gemma26,performance,pp512,0,1235.70469,8.337354,"[1239.55, 1221.29, 1238.29, 1236.77, 1242.62]",5
gemma26,performance,tg256,0,51.994686,0.314101,"[51.9944, 52.338, 51.6969, 52.2778, 51.6662]",5
gemma26,performance,tg256,2048,47.452039,0.223863,"[47.1329, 47.5525, 47.3687, 47.7372, 47.4688]",5
