elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,0.0,1874165760,7079477248,54962798592,19939328,1882046464,1909014528,289416937472,108068864,0,0,7618560,True
2.029,loading,0.0,72761344,6275219456,6194397184,58949632,53054046208,2078294016,289417592832,108544000,0,0,49711595520,True
4.052,loading,0.0,116277248,6120865792,6071468032,59899904,53233483776,2124726272,289418264576,108544000,0,0,51250511872,True
4.077,development-extraction,0.0,112607232,6124519424,6071353344,59949056,53233516544,2124726272,289418330112,108544000,0,0,51251937280,True
6.104,development-extraction,0.0,58507264,5999476736,6028902400,60243968,53451259904,2129985536,289418641408,108544000,0,0,51273056256,True
8.12,development-extraction,0.0,92864512,6029934592,5956059136,61161472,53451522048,2139979776,289418838016,108576768,0,0,51274170368,True
10.136,development-extraction,0.0,90882048,6028984320,5950701568,61947904,53453242368,2140684288,289418903552,108576768,0,0,51275268096,True
12.153,development-extraction,0.0,97927168,6023512064,5974458368,33226752,53453242368,2140733440,289419001856,108576768,0,0,51275825152,True
14.168,development-extraction,0.0,103792640,6025789440,5973753856,33226752,53451571200,2140733440,289419067392,108576768,0,0,51275825152,True
16.182,development-extraction,0.0,102645760,6023708672,5975195648,33226752,53451177984,2140733440,289419132928,108576768,0,0,51276201984,True
18.205,development-extraction,0.0,68845568,6040748032,6018711552,655360,53451341824,2142240768,289419575296,108888064,0,0,51278168064,True
20.23,development-extraction,0.0,71057408,6041305088,6018187264,1966080,53451325440,2142240768,289420181504,108888064,0,0,51278217216,True
22.254,development-extraction,0.0,128794624,6012829696,5993562112,2539520,53451505664,2152005632,289420312576,108888064,0,0,51278282752,True
24.279,development-extraction,0.0,127205376,6015107072,5993594880,2818048,53451505664,2151858176,289420492800,108888064,0,0,51278397440,True
26.295,development-extraction,0.0,129384448,6015549440,5993594880,2899968,53451161600,2151841792,289420558336,108888064,0,0,51278430208,True
28.311,development-extraction,0.0,194019328,5979521024,5960744960,2080768,53450063872,2152087552,289421066240,109379584,0,0,51278446592,True
30.339,development-extraction,0.0,187990016,5979619328,5960564736,2883584,53450063872,2152087552,289421639680,109379584,0,0,51278479360,True
32.363,development-extraction,0.0,170016768,5988630528,5969838080,2981888,53450113024,2152087552,289421705216,109379584,0,0,51278495744,True
34.379,development-extraction,0.0,177537024,5989531648,5969592320,3063808,53450113024,2152087552,289421770752,109379584,0,0,51278512128,True
36.401,development-extraction,0.0,167034880,5988089856,5971755008,3178496,53450047488,2152054784,289421836288,109379584,0,0,51278528512,True
38.425,development-extraction,0.0,76988416,5869256704,5858148352,1212416,53744828416,2189770752,289422278656,109379584,0,0,51278544896,True
40.454,development-extraction,0.0,71270400,5877661696,5864505344,2670592,53728657408,2189770752,289422884864,109379584,0,0,51278544896,True
42.479,development-extraction,0.0,170049536,5924683776,5994659840,2785280,53450293248,2189754368,289422950400,109379584,0,0,51278577664,True
44.503,development-extraction,0.0,251674624,5865979904,5970001920,2932736,53449801728,2189754368,289423015936,109379584,0,0,51278577664,True
