model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
qwen235-thinking-iq1s,development-extraction,ok,2403,815,2272,34.2395489999999,47.20306908299972,47.2473823750006,193,180,175,6,0,23.397878421806777,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen235-thinking-iq1s,development-summary,ok,2343,698,1639,27.179286709000735,43.726632542000516,43.777304791999995,193,167,154,13,0,21.720857869800252,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen235-thinking-iq1s,H1-extraction,ok,3538,1340,2219,52.628834999999526,104.31116404099885,104.37512849999985,587,577,567,5,0,16.64005955525781,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen235-thinking-iq1s,H1-summary,capped,3438,2048,2122,57.810259750000114,153.3396556250009,153.34023808300117,937,885,835,24,0,16.13274187092062,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen235-thinking-iq1s,H2-extraction,ok,3688,798,2176,57.45403987499958,74.11168299999918,74.17114495799979,171,163,159,4,0,17.13184755862789,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen235-thinking-iq1s,H2-summary,ok,3591,860,2308,50.070901834000324,75.5850447089997,75.64325816699966,279,253,252,9,0,17.209748771726808,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen235-thinking-iq1s,H3-extraction,ok,3327,1407,2182,53.28189295800075,105.78223895799965,105.84745145799934,591,568,566,8,0,17.207321272167857,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen235-thinking-iq1s,H3-summary,ok,3228,917,2116,50.63388054200004,75.53375770899947,75.5930817089993,256,226,211,15,0,17.431721317777235,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen235-thinking-iq1s,H4-extraction,ok,4120,976,2218,59.25118979200124,86.58582150000075,86.64568262500143,354,354,354,0,0,17.112075865572233,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen235-thinking-iq1s,H4-summary,ok,4031,918,1999,57.07456408299913,83.48768308299987,83.54731637499935,265,243,232,11,0,17.07866477695059,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen235-thinking-iq1s,full-source-control,ok,13736,1387,2188,172.15336629099875,243.93630720799956,244.02016662499955,539,519,509,10,0,12.473859007971633,"Native-thinking capacity request with512-token budget per thinking block,2048-token overall cap,16K context and prefix reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
