elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,0.0,1782038528,7449264128,54695034880,14991360,1885519872,1911209984,289408548864,108068864,0,0,0,True
0.001,0.0,1786068992,7448494080,54695084032,15204352,1885634560,1911209984,289408843776,108068864,0,0,950272,True
2.03,0.0,427343872,7089635328,7212859392,16138240,51071664128,1911209984,289411334144,108068864,0,0,48882745344,True
4.056,0.0,497401856,7228522496,7216660480,16515072,50854739968,1911177216,289412890624,108068864,0,0,48884334592,True
6.102,0.0,399917056,7107117056,7220363264,17465344,51071893504,1911177216,289414676480,108068864,0,0,48890200064,True
8.12,0.0,387547136,7107674112,7220084736,17596416,51071762432,1911177216,289414791168,108068864,0,0,48890347520,True
10.144,0.0,104218624,7107985408,7209074688,17842176,51360808960,1911177216,289414856704,108068864,0,0,48890363904,True
12.164,0.0,180518912,7258669056,7278755840,17924096,51071827968,1911177216,289414922240,108068864,0,0,48890363904,True
14.179,0.0,304103424,7308148736,7328202752,17907712,50855067648,1911177216,289415036928,108068864,0,0,48890478592,True
14.479,0.0,625508352,10082566144,7440580608,17907712,47652339712,1911177216,289415151616,108068864,0,0,0,True
