0.00.307.925 I load_tensors: offloaded 37/37 layers to GPU
0.00.307.926 I load_tensors:   CPU_Mapped model buffer size =   333.84 MiB
0.00.307.927 I load_tensors:  MTL0_Mapped model buffer size =  4789.19 MiB
0.00.309.467 I llama_context: n_ctx                 = 32768
0.00.309.581 I llama_context:        CPU  output buffer size =     0.58 MiB
0.00.400.918 I llama_kv_cache:       MTL0 KV buffer size =  4608.00 MiB
0.00.543.296 I sched_reserve:       MTL0 compute buffer size =   202.37 MiB
0.00.543.298 I sched_reserve:        CPU compute buffer size =    48.01 MiB
0.00.619.233 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.06.104.753 D slot handle_last_: id  0 | task 0 | slot decode token, id=785, n_ctx = 32768, n_tokens = 3440, truncated = 0
0.06.120.793 D slot handle_last_: id  0 | task 0 | slot decode token, id=1467, n_ctx = 32768, n_tokens = 3441, truncated = 0
0.06.134.136 D slot handle_last_: id  0 | task 0 | slot decode token, id=12033, n_ctx = 32768, n_tokens = 3442, truncated = 0
0.06.147.406 D slot handle_last_: id  0 | task 0 | slot decode token, id=553, n_ctx = 32768, n_tokens = 3443, truncated = 0
0.06.160.424 D slot handle_last_: id  0 | task 0 | slot decode token, id=38586, n_ctx = 32768, n_tokens = 3444, truncated = 0
0.06.173.392 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 3445, truncated = 0
0.06.186.847 D slot handle_last_: id  0 | task 0 | slot decode token, id=1652, n_ctx = 32768, n_tokens = 3446, truncated = 0
0.06.200.006 D slot handle_last_: id  0 | task 0 | slot decode token, id=66, n_ctx = 32768, n_tokens = 3447, truncated = 0
0.06.213.362 D slot handle_last_: id  0 | task 0 | slot decode token, id=1835, n_ctx = 32768, n_tokens = 3448, truncated = 0
0.06.226.702 D slot handle_last_: id  0 | task 0 | slot decode token, id=315, n_ctx = 32768, n_tokens = 3449, truncated = 0
0.06.239.955 D slot handle_last_: id  0 | task 0 | slot decode token, id=19305, n_ctx = 32768, n_tokens = 3450, truncated = 0
0.06.253.107 D slot handle_last_: id  0 | task 0 | slot decode token, id=482, n_ctx = 32768, n_tokens = 3451, truncated = 0
0.06.266.148 D slot handle_last_: id  0 | task 0 | slot decode token, id=304, n_ctx = 32768, n_tokens = 3452, truncated = 0
0.06.279.234 D slot handle_last_: id  0 | task 0 | slot decode token, id=30592, n_ctx = 32768, n_tokens = 3453, truncated = 0
0.06.292.468 D slot handle_last_: id  0 | task 0 | slot decode token, id=91187, n_ctx = 32768, n_tokens = 3454, truncated = 0
0.06.305.694 D slot handle_last_: id  0 | task 0 | slot decode token, id=1164, n_ctx = 32768, n_tokens = 3455, truncated = 0
0.06.318.968 D slot handle_last_: id  0 | task 0 | slot decode token, id=438, n_ctx = 32768, n_tokens = 3456, truncated = 0
0.06.332.079 D slot handle_last_: id  0 | task 0 | slot decode token, id=264, n_ctx = 32768, n_tokens = 3457, truncated = 0
0.06.345.325 D slot handle_last_: id  0 | task 0 | slot decode token, id=8622, n_ctx = 32768, n_tokens = 3458, truncated = 0
0.06.358.480 D slot handle_last_: id  0 | task 0 | slot decode token, id=6277, n_ctx = 32768, n_tokens = 3459, truncated = 0
0.06.371.617 D slot handle_last_: id  0 | task 0 | slot decode token, id=18719, n_ctx = 32768, n_tokens = 3460, truncated = 0
0.06.384.878 D slot handle_last_: id  0 | task 0 | slot decode token, id=369, n_ctx = 32768, n_tokens = 3461, truncated = 0
0.06.398.122 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 3462, truncated = 0
0.06.411.208 D slot handle_last_: id  0 | task 0 | slot decode token, id=59869, n_ctx = 32768, n_tokens = 3463, truncated = 0
0.06.424.261 D slot handle_last_: id  0 | task 0 | slot decode token, id=596, n_ctx = 32768, n_tokens = 3464, truncated = 0
0.06.437.457 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 3465, truncated = 0
0.06.450.727 D slot handle_last_: id  0 | task 0 | slot decode token, id=1096, n_ctx = 32768, n_tokens = 3466, truncated = 0
0.06.463.996 D slot handle_last_: id  0 | task 0 | slot decode token, id=374, n_ctx = 32768, n_tokens = 3467, truncated = 0
0.06.477.091 D slot handle_last_: id  0 | task 0 | slot decode token, id=8110, n_ctx = 32768, n_tokens = 3468, truncated = 0
0.06.490.173 D slot handle_last_: id  0 | task 0 | slot decode token, id=553, n_ctx = 32768, n_tokens = 3469, truncated = 0
0.06.503.330 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 3470, truncated = 0
0.06.516.585 D slot handle_last_: id  0 | task 0 | slot decode token, id=18647, n_ctx = 32768, n_tokens = 3471, truncated = 0
0.06.529.744 D slot handle_last_: id  0 | task 0 | slot decode token, id=315, n_ctx = 32768, n_tokens = 3472, truncated = 0
0.06.542.873 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 3473, truncated = 0
0.06.556.077 D slot handle_last_: id  0 | task 0 | slot decode token, id=472, n_ctx = 32768, n_tokens = 3474, truncated = 0
0.06.569.195 D slot handle_last_: id  0 | task 0 | slot decode token, id=10862, n_ctx = 32768, n_tokens = 3475, truncated = 0
0.06.582.271 D slot handle_last_: id  0 | task 0 | slot decode token, id=304, n_ctx = 32768, n_tokens = 3476, truncated = 0
0.06.595.492 D slot handle_last_: id  0 | task 0 | slot decode token, id=220, n_ctx = 32768, n_tokens = 3477, truncated = 0
0.06.608.642 D slot handle_last_: id  0 | task 0 | slot decode token, id=18, n_ctx = 32768, n_tokens = 3478, truncated = 0
0.06.621.996 D slot handle_last_: id  0 | task 0 | slot decode token, id=22, n_ctx = 32768, n_tokens = 3479, truncated = 0
0.06.635.375 D slot handle_last_: id  0 | task 0 | slot decode token, id=17, n_ctx = 32768, n_tokens = 3480, truncated = 0
0.06.648.539 D slot handle_last_: id  0 | task 0 | slot decode token, id=26711, n_ctx = 32768, n_tokens = 3481, truncated = 0
0.06.661.857 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 3482, truncated = 0
0.06.674.987 D slot handle_last_: id  0 | task 0 | slot decode token, id=879, n_ctx = 32768, n_tokens = 3483, truncated = 0
0.06.688.083 D slot handle_last_: id  0 | task 0 | slot decode token, id=6009, n_ctx = 32768, n_tokens = 3484, truncated = 0
0.06.701.207 D slot handle_last_: id  0 | task 0 | slot decode token, id=862, n_ctx = 32768, n_tokens = 3485, truncated = 0
0.06.714.382 D slot handle_last_: id  0 | task 0 | slot decode token, id=9710, n_ctx = 32768, n_tokens = 3486, truncated = 0
0.06.727.474 D slot handle_last_: id  0 | task 0 | slot decode token, id=1606, n_ctx = 32768, n_tokens = 3487, truncated = 0
0.06.740.795 D slot handle_last_: id  0 | task 0 | slot decode token, id=11912, n_ctx = 32768, n_tokens = 3488, truncated = 0
0.06.754.086 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 3489, truncated = 0
