elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,0.0,5519687680,26348961792,33730428928,241205248,1871101952,13303808,99916316672,53903360,0,0,2703360,True
2.025,loading,0.0,210878464,26555793408,28708569088,289554432,11952324608,13303808,99917545472,53903360,0,0,9990324224,True
2.07,development-extraction,0.0,202981376,26558709760,28708683776,290373632,11952357376,13303808,99917611008,53903360,0,0,9991847936,True
4.096,development-extraction,0.0,219660288,26304839680,28703621120,331907072,12156862464,13303808,99917676544,53903360,0,0,10013179904,True
6.12,development-extraction,0.0,239714304,26235961344,28703588352,378388480,12157190144,13303808,99917791232,53903360,0,0,10014900224,True
8.159,development-summary,0.0,215597056,26426572800,28703571968,427065344,11948539904,13303808,99917856768,53903360,0,0,10037018624,True
10.185,development-summary,0.0,68960256,26626736128,28703703040,162676736,12155830272,13303808,99918151680,54329344,0,0,10390716416,True
12.206,development-summary,0.0,65273856,26626686976,28703719424,164577280,12156633088,13303808,99918741504,54837248,0,0,10390749184,True
14.234,development-summary,0.0,64749568,26604503040,28703703040,187891712,12155944960,13303808,99918807040,55017472,0,0,10390831104,True
16.261,development-summary,0.0,64307200,26612219904,28703752192,176455680,12156207104,13303808,99919052800,55279616,0,0,10390962176,True
18.305,H1-extraction,0.0,124633088,26757316608,28703784960,180371456,11947868160,13303808,99919413248,55541760,0,0,10413080576,True
20.337,H1-extraction,0.0,61997056,27053326336,28320399360,130285568,12156895232,13303808,99920461824,55951360,0,0,10802266112,True
22.36,H1-extraction,0.0,65110016,27054030848,28320415744,121061376,12156878848,13303808,99920560128,55967744,0,0,10803871744,True
24.38,H1-extraction,0.0,65617920,27063517184,28285976576,144343040,12157845504,13303808,99920805888,56066048,0,0,10803871744,True
26.425,H1-summary,0.0,61358080,27064303616,28285960192,154222592,12157239296,13303808,99921395712,56066048,0,0,10804051968,True
28.455,H1-summary,0.0,60555264,27669643264,27714928640,119652352,12158926848,13303808,99922165760,56836096,0,0,11350933504,True
30.472,H1-summary,0.0,61751296,27669757952,27707604992,130465792,12158959616,13303808,99922444288,57032704,0,0,11350949888,True
32.5,H1-summary,0.0,64405504,27668971520,27696168960,123109376,12159762432,13303808,99923050496,57065472,0,0,11351031808,True
34.528,H1-summary,0.0,62472192,27656437760,27673100288,165675008,12159746048,13303808,99923116032,57196544,0,0,11351031808,True
36.553,H1-summary,0.0,69173248,27656994816,27673673728,160432128,12159729664,13303808,99923279872,57982976,0,0,11351031808,True
38.605,H2-extraction,0.0,109625344,27809415168,27696136192,148652032,11952160768,13303808,99924246528,58097664,0,0,11358650368,True
40.637,H2-extraction,0.0,60620800,27753529344,27611398144,125321216,12160712704,13303808,99929833472,58097664,0,0,11920654336,True
42.654,H2-extraction,0.0,57475072,27751612416,27615936512,116506624,12160712704,13303808,99929899008,58359808,0,0,11921178624,True
44.676,H2-extraction,0.0,61243392,27745042432,27609088000,141099008,12161630208,13303808,99930128384,58376192,0,0,11921735680,True
46.725,H2-summary,0.0,61800448,27747958784,27607056384,139001856,12160974848,13303808,99930816512,58474496,0,0,11921768448,True
48.75,H2-summary,0.0,91553792,27728281600,27613478912,130318336,12161368064,13303808,99930996736,58490880,0,0,12492668928,True
50.773,H2-summary,0.0,64929792,27728314368,27613560832,148963328,12161466368,13303808,99931062272,58867712,0,0,12492685312,True
52.798,H2-summary,0.0,61784064,27684831232,27612577792,194035712,12160745472,13303808,99931127808,58867712,0,0,12492685312,True
54.816,H2-summary,0.0,69304320,27600470016,27490189312,102350848,12457295872,13303808,99931488256,59080704,0,0,12492685312,True
56.867,H3-extraction,0.0,62259200,27756199936,27613659136,130596864,12159860736,13303808,99932160000,59080704,0,0,12505120768,True
58.899,H3-extraction,0.0,113180672,27659616256,27618721792,157073408,12159746048,13303808,99932225536,59097088,0,0,13077954560,True
60.923,H3-extraction,0.0,139771904,27589459968,27618017280,203210752,12159205376,13303808,99932291072,59097088,0,0,13077954560,True
62.948,H3-extraction,0.0,179879936,27513782272,27609907200,250707968,12158468096,13303808,99932356608,59097088,0,0,13077954560,True
64.971,H3-extraction,0.0,164528128,27496300544,27606351872,288931840,12158435328,13303808,99932422144,59097088,0,0,13077954560,True
67.018,H3-summary,0.0,175030272,27654602752,27602550784,338477056,11950571520,13303808,99932536832,59097088,0,0,13078020096,True
69.048,H3-summary,0.0,136036352,27447230464,27593916416,385794048,12157665280,13303808,99932602368,59097088,0,0,13078036480,True
71.066,H3-summary,0.0,125943808,27447197696,27553349632,433930240,12156125184,13303808,99932667904,59097088,0,0,13078036480,True
73.083,H3-summary,0.0,82100224,27446214656,27553316864,485244928,12156928000,13303808,99932733440,59097088,0,0,13078036480,True
75.109,H3-summary,0.0,84803584,27401912320,27553120256,516964352,12156665856,13303808,99932798976,59097088,0,0,13078036480,True
77.159,H4-extraction,0.0,99876864,27559395328,27553660928,548519936,11948802048,13303808,99932913664,59654144,0,0,13078282240,True
79.18,H4-extraction,0.0,62603264,27434254336,27553136640,512491520,12155830272,13303808,99933159424,60129280,0,0,13078331392,True
81.209,H4-extraction,0.0,60751872,27434041344,27553103872,509853696,12155830272,13303808,99933683712,60145664,0,0,13078331392,True
83.233,H4-extraction,0.0,65781760,27433238528,27553120256,499515392,12156633088,13303808,99933749248,60145664,0,0,13078396928,True
85.257,H4-extraction,0.0,70746112,27442348032,27553103872,493436928,12156862464,13303808,99933831168,60145664,0,0,13078396928,True
87.287,H4-extraction,0.0,69124096,27445035008,27553185792,491749376,12158992384,13303808,99933945856,60260352,0,0,13078396928,True
89.33,H4-summary,0.0,65781760,27653832704,27553038336,493764608,11950981120,13303808,99934011392,60260352,0,0,13078462464,True
91.36,H4-summary,0.0,66928640,27663007744,27699003392,136642560,12158386176,13303808,99934371840,61095936,0,0,13744504832,True
93.388,H4-summary,0.0,60604416,27663056896,27699036160,136413184,12158402560,13303808,99934617600,61620224,0,0,13744504832,True
95.412,H4-summary,0.0,70451200,27664023552,27699068928,127057920,12159188992,13303808,99934748672,61685760,0,0,13746388992,True
97.433,H4-summary,0.0,65552384,27674689536,27667906560,144850944,12159221760,13303808,99934830592,62078976,0,0,13746388992,True
99.465,H4-summary,0.0,64847872,27674574848,27667857408,156827648,12159238144,13303808,99935715328,62341120,0,0,13746388992,True
101.499,merged-summary-synthesis,0.0,85426176,27663908864,27667988480,141377536,12159385600,13303808,99935780864,62586880,0,0,13746454528,True
103.526,merged-summary-synthesis,0.0,65699840,27711340544,27667890176,116539392,12160483328,13303808,99936862208,62636032,0,0,13746470912,True
