elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,0.0,1368391680,23704010752,35283976192,5516836864,1861206016,0,50375180288,65536,0,0,7553024,True
2.022,loading,0.0,60227584,23657971712,18513149952,5134860288,20371865600,0,50376114176,65536,0,0,18218385408,True
2.069,development-extraction,0.0,64897024,23658545152,18514788352,5127520256,20371881984,0,50376179712,65536,0,0,18221645824,True
4.095,development-extraction,0.0,61325312,23655661568,19008110592,4634427392,20374093824,0,50376916992,65536,0,0,18678857728,True
6.135,development-summary,0.0,68206592,23652958208,19017302016,4617748480,20374339584,0,50377146368,65536,0,0,18734137344,True
8.163,development-summary,0.0,59932672,23660314624,19728596992,3906420736,20376535040,0,50377408512,65536,0,0,19398295552,True
10.181,development-summary,0.0,59539456,23648616448,19749928960,3887595520,20376043520,0,50377474048,65536,0,0,19398574080,True
12.228,H1-extraction,0.0,68206592,23652581376,19748618240,3889594368,20375027712,0,50377539584,65536,0,0,19420938240,True
14.261,H1-extraction,0.0,63881216,23649796096,20033814528,3607789568,20375044096,0,50377654272,65536,0,0,19682459648,True
16.286,H1-extraction,0.0,67846144,23650582528,20032749568,3599400960,20376027136,0,50377719808,65536,0,0,19684081664,True
18.312,H1-extraction,0.0,63897600,23648632832,20054704128,3579133952,20377337856,0,50378047488,65536,0,0,19684130816,True
20.352,H1-summary,0.0,131465216,23705845760,20097990656,3627630592,20164526080,0,50378113024,65536,0,0,19714605056,True
22.383,H1-summary,0.0,67895296,23603593216,20328071168,3357556736,20374634496,0,50378178560,65536,0,0,19972734976,True
24.407,H1-summary,0.0,67829760,23604903936,20325613568,3348758528,20375846912,0,50378293248,65536,0,0,19972751360,True
26.424,H1-summary,0.0,67993600,23604953088,20325318656,3351871488,20375748608,0,50378358784,65536,0,0,19972751360,True
28.474,H2-extraction,0.0,65912832,23757717504,20393656320,3346350080,20164509696,0,50378424320,65536,0,0,19973013504,True
30.505,H2-extraction,0.0,60047360,23619764224,20375502848,3301834752,20376600576,0,50379276288,65536,0,0,19973013504,True
32.521,H2-extraction,0.0,61685760,23623467008,20373127168,3292184576,20378009600,0,50379390976,65536,0,0,19973537792,True
34.537,H2-extraction,0.0,67895296,23622008832,20366917632,3292889088,20377698304,0,50379456512,65536,0,0,19973554176,True
36.572,H2-summary,0.0,65044480,23622270976,20360282112,3303620608,20376666112,0,50379522048,65536,0,0,19993477120,True
38.594,H2-summary,0.0,63946752,23648108544,20611596288,3028336640,20376403968,0,50380275712,98304,0,0,20267237376,True
40.617,H2-summary,0.0,60997632,23509860352,20720549888,2775351296,20666662912,0,50380603392,114688,0,0,20267237376,True
42.64,H2-summary,0.0,127647744,23590633472,20829831168,2809282560,20376862720,0,50380865536,114688,0,0,20267253760,True
44.68,H3-extraction,0.0,155189248,23714906112,20826669056,2860466176,20165148672,0,50381045760,114688,0,0,20267286528,True
46.711,H3-extraction,0.0,126451712,23504568320,20809072640,2911944704,20376485888,0,50381602816,114688,0,0,20267302912,True
48.736,H3-extraction,0.0,111493120,23480303616,20806287360,2955984896,20377731072,0,50381668352,114688,0,0,20267302912,True
50.776,H3-summary,0.0,85475328,23464738816,20802715648,3003809792,20376584192,0,50381733888,114688,0,0,20267368448,True
52.8,H3-summary,0.0,91455488,23424892928,20790378496,3052011520,20376420352,0,50381848576,114688,0,0,20267368448,True
54.824,H3-summary,0.0,64028672,23423533056,20790296576,3083698176,20377632768,0,50381914112,114688,0,0,20267368448,True
56.85,H3-summary,0.0,73302016,23423139840,20771143680,3087417344,20377501696,0,50381979648,114688,0,0,20267368448,True
58.89,H4-extraction,0.0,60686336,23635902464,20770930688,3094839296,20166180864,0,50382045184,114688,0,0,20267646976,True
60.918,H4-extraction,0.0,109461504,23426220032,20707557376,3108765696,20372979712,0,50382110720,114688,0,0,20267646976,True
62.934,H4-extraction,0.0,64831488,23428857856,20707328000,3157704704,20374618112,0,50382307328,114688,0,0,20268335104,True
64.961,H4-extraction,0.0,72138752,23429939200,20665352192,3190341632,20372701184,0,50382569472,114688,0,0,20268351488,True
67.006,H4-summary,0.0,80592896,23599808512,20665417728,3220979712,20161429504,0,50382635008,114688,0,0,20292861952,True
