model_id,request,status,visible_tokens_retokenized,first_content_delta_seconds,first_readable_delta_seconds,last_content_delta_seconds,visible_phase_seconds,wall_seconds,visible_phase_tokens_per_second,visible_tokens_per_total_wall_second
gemma4-26b,development-extraction,ok,70,2.5307187919997887,2.5307187919997887,3.3192510419994505,0.7885322499996619,3.331436374999612,88.77252642492431,21.011957642447292
gemma4-26b,development-summary,ok,320,1.9600910829994973,1.9600910829994973,5.588934624999638,3.6288435420001406,5.600705207999454,88.18236341587294,57.135662048940894
gemma4-26b,H1-extraction,ok,283,3.12985395800024,3.12985395800024,6.368035874999805,3.238181916999565,6.380797957999675,87.39471939928012,44.351819609834195
gemma4-26b,H1-summary,ok,336,3.058617208999749,3.058617208999749,6.908355833999849,3.8497386250001,6.9217316669992215,87.27865258644442,48.542765909569866
gemma4-26b,H2-extraction,ok,348,3.4092587499999354,3.4092587499999354,7.42001587499999,4.010757125000055,7.433222833999935,86.76666004800659,46.81683944792164
gemma4-26b,H2-summary,ok,295,3.2824318749999293,3.2824318749999293,6.669012416000442,3.3865805410005123,6.681439750000209,87.10851445241188,44.15216046810731
gemma4-26b,H3-extraction,ok,243,2.9455495829997744,2.9455495829997744,5.726757000000362,2.781207417000587,5.740027583000483,87.37212424885055,42.33429134028249
gemma4-26b,H3-summary,ok,345,2.881148000000394,2.881148000000394,6.820751791000475,3.9396037910000814,6.8337099159998616,87.57225810071134,50.485022665689485
gemma4-26b,H4-extraction,ok,227,3.5168716250000216,3.5168716250000216,6.190955916000348,2.6740842910003266,6.2033162079997055,84.88887233808303,36.593330468510395
gemma4-26b,H4-summary,ok,353,3.345655999999508,3.345655999999508,7.390037208999274,4.044381208999766,7.402316959000018,87.28158443978677,47.68777153899215
gemma4-26b,merged-summary-synthesis,ok,1279,1.2431546249999883,1.2431546249999883,15.768451083999935,14.525296458999946,15.782646499999828,88.05328026248478,81.03837338053627
gemma4-26b,full-source-control,ok,940,13.689155166000091,13.689155166000091,25.641761458000474,11.952606292000382,25.65829704099997,78.64393564348568,36.63532301064069
