elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,0.0,1304444928,17060446208,45887619072,1474543616,1868234752,134152192,130378235904,77676544,0,0,2441216,True
2.021,loading,0.0,65372160,14125580288,14095564800,157827072,39158349824,134135808,130379825152,77987840,0,0,36941545472,True
2.053,development-extraction,0.0,57917440,14127857664,14095417344,158990336,39158366208,134135808,130380398592,77987840,0,0,36942807040,True
4.077,development-extraction,0.0,78102528,14143225856,14042906624,183746560,39156744192,134135808,130380464128,77987840,0,0,36978327552,True
6.096,development-extraction,0.0,64045056,14155202560,14042382336,188317696,39157317632,134135808,130380742656,77987840,0,0,36978065408,True
8.119,development-extraction,0.0,74334208,14155890688,14041169920,170786816,39158071296,134135808,130380873728,78102528,0,0,36979195904,True
10.142,development-extraction,0.0,60096512,14156709888,14040137728,186859520,39157334016,134135808,130381119488,78118912,0,0,36979195904,True
12.169,development-extraction,0.0,106004480,14154137600,14039089152,138903552,39158120448,134135808,130381447168,78118912,0,0,36980277248,True
14.189,development-extraction,0.0,65732608,14154547200,14038941696,185958400,39157383168,134135808,130381512704,78118912,0,0,36980277248,True
16.206,development-extraction,0.0,65667072,14154432512,14038843392,186220544,39157399552,134135808,130381578240,78118912,0,0,36980277248,True
18.224,development-extraction,0.0,66600960,14154989568,14038712320,175390720,39157399552,134135808,130382036992,78184448,0,0,36980834304,True
20.242,development-extraction,0.0,63766528,14154989568,14038712320,184025088,39157284864,134135808,130382610432,78217216,0,0,36980834304,True
22.26,development-extraction,0.0,102203392,14153465856,14023655424,159891456,39158595584,134135808,130382675968,78266368,0,0,36981063680,True
24.279,development-extraction,0.0,61751296,14168899584,14024556544,183140352,39157825536,134135808,130382741504,78266368,0,0,36981063680,True
26.303,development-extraction,0.0,64847872,14169915392,14024523776,184156160,39158497280,134135808,130382987264,78381056,0,0,36982800384,True
28.322,development-extraction,0.0,69992448,14170095616,14024556544,180387840,39158497280,134135808,130383577088,78381056,0,0,36982816768,True
30.347,development-extraction,0.0,88604672,14177337344,14033092608,141082624,39158595584,134135808,130383642624,78577664,0,0,36982816768,True
32.372,development-extraction,0.0,63766528,14177976320,14032650240,170295296,39158595584,134135808,130383708160,78626816,0,0,36982849536,True
34.397,development-extraction,0.0,60096512,14177583104,14010155008,197443584,39157612544,134135808,130383953920,78643200,0,0,36982865920,True
36.422,development-extraction,0.0,60899328,14194147328,14040023040,148946944,39157628928,134135808,130384396288,78905344,0,0,36982882304,True
38.462,development-summary,0.0,100417536,14252916736,14124302336,156499968,38964838400,134135808,130384527360,78921728,0,0,37027561472,True
40.494,development-summary,0.0,66420736,14049640448,13914865664,120078336,39448412160,134135808,130385379328,78938112,0,0,37485133824,True
42.52,development-summary,0.0,166477824,14114865152,13988249600,172703744,39157055488,134135808,130386755584,78954496,0,0,37485133824,True
44.544,development-summary,0.0,189579264,14048329728,13987381248,219365376,39157088256,134135808,130386853888,78954496,0,0,37485150208,True
46.569,development-summary,0.0,170786816,14013628416,13986447360,270548992,39157055488,134135808,130386919424,78954496,0,0,37485150208,True
48.592,development-summary,0.0,145620992,13989412864,13985071104,321519616,39157628928,134135808,130387034112,78954496,0,0,37485412352,True
50.616,development-summary,0.0,156893184,14090797056,13974781952,217432064,39160987648,134135808,130395455488,79167488,0,0,37485412352,True
52.639,development-summary,0.0,105037824,14163574784,13973635072,202162176,39164936192,134135808,130396962816,79167488,0,0,37485674496,True
54.659,development-summary,0.0,59998208,14172897280,13973454848,234209280,39164215296,134135808,130397126656,79167488,0,0,37485674496,True
56.683,development-summary,0.0,108363776,14156365824,13973323776,197607424,39164198912,134135808,130397192192,79380480,0,0,37485674496,True
58.707,development-summary,0.0,61177856,14156316672,13972684800,249348096,39164788736,134135808,130398568448,79380480,0,0,37485674496,True
60.731,development-summary,0.0,64176128,14166212608,13972275200,219676672,39165493248,134135808,130398863360,79544320,0,0,37485690880,True
62.76,development-summary,0.0,59834368,14174470144,13968130048,225591296,39165247488,134004736,130399109120,79593472,0,0,37485707264,True
64.78,development-summary,0.0,64258048,14174552064,13967622144,227606528,39164985344,134004736,130399174656,79593472,0,0,37485707264,True
66.802,development-summary,0.0,64012288,14174355456,13967556608,228540416,39165018112,134004736,130399240192,79593472,0,0,37485723648,True
68.819,development-summary,0.0,59179008,14173945856,13966999552,229769216,39165001728,134004736,130399371264,79888384,0,0,37485740032,True
70.834,development-summary,0.0,63307776,14169620480,13971423232,233291776,39164985344,134004736,130399666176,79921152,0,0,37485740032,True
72.87,development-summary,0.0,68009984,14170669056,13971275776,221528064,39165018112,133971968,130400272384,79921152,0,0,37485756416,True
74.889,development-summary,0.0,63864832,14170456064,13971161088,223674368,39165034496,133971968,130400337920,79921152,0,0,37485789184,True
76.905,development-summary,0.0,61931520,14181613568,13975781376,209371136,39165444096,133971968,130405695488,80183296,0,0,37485789184,True
78.922,development-summary,0.0,66125824,14012678144,13923909632,134823936,39443120128,142835712,130440069120,80314368,0,0,37485789184,True
80.943,development-summary,0.0,115392512,14130085888,14021033984,162578432,39165476864,142835712,130470625280,80314368,0,0,37485805568,True
82.961,development-summary,0.0,137723904,14057832448,14012792832,216055808,39165149184,142835712,130478538752,80314368,0,0,37485821952,True
84.981,development-summary,0.0,136740864,14006468608,14012039168,268910592,39165149184,142835712,130478604288,80314368,0,0,37485838336,True
87.006,development-summary,0.0,105201664,13981335552,14011760640,322174976,39165149184,142835712,130478669824,80314368,0,0,37485838336,True
89.026,development-summary,0.0,79429632,13981401088,14010449920,358400000,39165165568,142835712,130478817280,80314368,0,0,37485854720,True
91.042,development-summary,0.0,89325568,13954973696,14007107584,372375552,39165116416,142835712,130478882816,80560128,0,0,37485903872,True
93.068,development-summary,0.0,59867136,13955170304,14007418880,398524416,39165116416,142835712,130478948352,80904192,0,0,37485936640,True
95.094,development-summary,0.0,57982976,13956317184,14007386112,403046400,39165034496,142835712,130483044352,81674240,0,0,37485936640,True
97.122,development-summary,0.0,64159744,13956448256,14006992896,397426688,39165034496,142835712,130483142656,81674240,0,0,37485953024,True
99.147,H1-extraction,0.0,68354048,13954826240,13985726464,126664704,39457996800,142835712,130483552256,81739776,0,0,37559975936,True
101.179,H1-extraction,0.0,64339968,14029193216,13879492608,137330688,39444201472,174047232,130484125696,81739776,0,0,38036242432,True
103.206,H1-extraction,0.0,135921664,14079623168,14006829056,171376640,39165493248,174047232,130484224000,81739776,0,0,38036242432,True
105.23,H1-extraction,0.0,138690560,14020657152,14006059008,225591296,39166246912,174047232,130484289536,81739776,0,0,38036242432,True
107.254,H1-extraction,0.0,109592576,13995786240,14005485568,276512768,39165444096,174047232,130484355072,81739776,0,0,38036242432,True
109.27,H1-extraction,0.0,122454016,13980352512,14004142080,284327936,39166197760,174030848,130484469760,81805312,0,0,38036242432,True
111.289,H1-extraction,0.0,100007936,13981204480,13996982272,309592064,39165427712,174014464,130489876480,82067456,0,0,38036242432,True
113.306,H1-extraction,0.0,60309504,13980811264,13996834816,353304576,39165476864,174014464,130490286080,82100224,0,0,38036242432,True
115.325,H1-extraction,0.0,85852160,13980467200,13996720128,323420160,39166230528,174014464,130490368000,82231296,0,0,38036766720,True
117.345,H1-extraction,0.0,80068608,13964984320,13996654592,340426752,39165493248,174014464,130490482688,82231296,0,0,38036766720,True
119.37,H1-extraction,0.0,165527552,13964492800,13892796416,361611264,39162085376,174014464,130490613760,82231296,0,0,38037848064,True
