model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
nemotron-49b,development-extraction,ok,2372,129,0,22.748908207999193,34.310610958000325,34.40671462499995,94,91,91,1,0,10.981348180116072,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,development-summary,ok,2311,429,0,20.42336612500003,60.39687258400045,60.501447583999834,298,284,277,7,0,10.679240624150713,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H1-extraction,ok,3512,538,0,33.94005733299855,88.93245583299904,89.04037474999859,374,359,346,5,0,9.74597488514904,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H1-summary,ok,3408,428,0,32.94758541700139,77.96673733300122,78.07448320799995,251,231,221,10,0,9.456001127102185,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H2-extraction,ok,3648,526,0,36.010516375001316,92.38773483300065,92.49751562500023,357,345,331,4,0,9.294118925846279,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H2-summary,ok,3549,488,0,35.47358491700106,88.02038520899987,88.12953620900043,353,326,314,13,0,9.248695952861809,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H3-extraction,ok,3289,301,0,32.65347929199925,64.43362541699935,64.53886945799968,196,184,184,4,0,9.408696363962248,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H3-summary,ok,3188,408,0,32.25354412500019,76.66610766700069,76.7819671670004,257,235,223,11,1,9.140233071451807,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H4-extraction,ok,4047,494,0,41.665851959000065,94.11775387499983,94.22608208400015,356,344,331,4,0,9.379692759697198,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H4-summary,ok,3954,431,0,39.07306166699891,84.46319158400001,84.5714856249997,255,241,234,7,0,9.450855409011373,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,full-source-control,ok,13541,756,0,147.35926783299874,238.72886179099987,238.85214158300005,498,488,470,4,7,8.252009957367056,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,merged-summary-synthesis,ok,1953,959,0,18.80115399999886,119.43294908299868,119.54360312499921,625,568,541,28,0,9.509348677411891,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
