elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.002,loading,0.0,9595453440,19655311360,21960179712,13391069184,3126050816,0,21607104512,0,0,0,32768,True
2.027,loading,0.0,4226990080,19719323648,16939646976,13432209408,13415235584,0,21619048448,0,0,0,9988653056,True
4.051,loading,0.0,4087955456,19806928896,16939646976,13477298176,13417316352,0,21620260864,0,0,0,9990717440,True
4.076,development-extraction,0.0,4083040256,19810205696,16939761664,13477658624,13418348544,0,21620326400,0,0,0,9991929856,True
6.098,development-extraction,0.0,4036345856,19804225536,16939778048,13523533824,13422493696,0,21620424704,0,0,0,10013245440,True
8.116,development-extraction,0.0,4030300160,19774046208,16939745280,13566656512,13422215168,0,21620703232,0,0,0,10015309824,True
10.152,development-summary,0.0,4024254464,19737165824,16939728896,13608763392,13413662720,0,21620785152,0,0,0,10040541184,True
12.172,development-summary,0.0,3435626496,19943112704,16940204032,13645070336,13771440128,0,21620916224,0,0,0,10390716416,True
14.194,development-summary,0.0,3374858240,19971260416,16941662208,13688946688,13747388416,0,21621735424,0,0,0,10390994944,True
16.217,development-summary,0.0,3367583744,19963674624,16944922624,13733609472,13726400512,0,21624471552,0,0,0,10392862720,True
18.237,development-summary,0.0,3257237504,19944947712,16945594368,13778845696,13802831872,0,21624569856,0,0,0,10392911872,True
20.26,development-summary,0.0,3195338752,20000833536,16950738944,13825310720,13757988864,0,21634908160,0,0,0,10392977408,True
22.282,development-summary,0.0,3114090496,20076101632,16936763392,13868695552,13728350208,0,21635219456,0,0,0,10393026560,True
24.301,development-summary,0.0,3099967488,20030947328,16936615936,13907034112,13752532992,0,21635284992,0,0,0,10393075712,True
26.338,H1-extraction,0.0,3089874944,20033880064,16936615936,13952647168,13720502272,0,21635383296,0,0,0,10393878528,True
28.363,H1-extraction,0.0,2633728000,20435222528,16936615936,13997195264,13733642240,0,21635563520,0,0,0,10804166656,True
30.385,H1-extraction,0.0,2580267008,20428406784,16936681472,14043512832,13740687360,0,21635629056,0,0,0,10804690944,True
32.408,H1-extraction,0.0,2543058944,20429537280,16936665088,14086930432,13741604864,0,21635792896,0,0,0,10806296576,True
34.43,H1-extraction,0.0,2508767232,20442726400,16936665088,14131183616,13727399936,0,21635874816,0,0,0,10806296576,True
36.453,H1-extraction,0.0,2466201600,20449476608,16936665088,14176288768,13700825088,0,21635973120,0,0,0,10806345728,True
38.494,H1-summary,0.0,2440527872,20644872192,16936665088,14218297344,13491306496,0,21636055040,0,0,0,10806558720,True
40.516,H1-summary,0.0,1845575680,20972503040,16936665088,14259732480,13713031168,0,21636120576,0,0,0,11353423872,True
42.535,H1-summary,0.0,1836351488,20917731328,16937009152,14301855744,13739589632,0,21636448256,0,0,0,11353423872,True
44.552,H1-summary,0.0,1717731328,21011660800,16937009152,14343323648,13717471232,0,21637201920,0,0,0,11353440256,True
46.572,H1-summary,0.0,1671806976,21026357248,16937009152,14390771712,13701251072,0,21637267456,0,0,0,11353440256,True
48.599,H1-summary,0.0,1623048192,21024948224,16937009152,14434910208,13701070848,0,21637332992,0,0,0,11353473024,True
50.646,H1-summary,0.0,1581481984,21021786112,16937009152,14479654912,13703675904,0,21637398528,0,0,0,11353473024,True
52.744,H1-summary,0.0,1544306688,20999389184,16937009152,14522466304,13726859264,0,21637513216,0,0,0,11353505792,True
54.831,H1-summary,0.0,1503543296,21021409280,16937189376,14564982784,13700890624,0,21637693440,0,0,0,11353505792,True
56.92,H2-extraction,0.0,1510653952,21182431232,16937369600,14606319616,13494059008,0,21637758976,0,0,0,11353669632,True
58.938,H2-extraction,0.0,825786368,21589409792,16937369600,14652129280,13715980288,0,21637840896,0,0,0,11923062784,True
60.962,H2-extraction,0.0,793542656,21589360640,16937402368,14693892096,13715439616,0,21637922816,0,0,0,11923062784,True
62.982,H2-extraction,0.0,743227392,21558706176,16937402368,14733737984,13748994048,0,21638037504,0,0,0,11924111360,True
65.002,H2-extraction,0.0,715898880,21575024640,16937484288,14771060736,13731872768,0,21638266880,0,0,0,11924111360,True
67.033,H2-extraction,0.0,673726464,21603483648,16937484288,14813478912,13701349376,0,21638332416,0,0,0,11924111360,True
69.17,H2-summary,0.0,635453440,21809070080,16937500672,14859452416,13491159040,0,21638397952,0,0,0,11924144128,True
71.191,H2-summary,0.0,67780608,22143516672,16904798208,14900543488,13711015936,0,21638463488,0,0,0,12495077376,True
73.211,H2-summary,0.0,137265152,22097149952,16842539008,14941306880,13710229504,0,21638578176,0,0,0,12495077376,True
75.236,H2-summary,0.0,103972864,22096216064,16842539008,14975303680,13711998976,0,21638643712,0,0,0,12495110144,True
77.26,H2-summary,0.0,75415552,22088302592,16842588160,15016591360,13704986624,0,21638709248,0,0,0,12495110144,True
79.287,H2-summary,0.0,83247104,22051930112,16842342400,15054962688,13699907584,0,21638774784,0,0,0,12495110144,True
81.397,H2-summary,0.0,75530240,22008856576,16845144064,15095398400,13700169728,0,21638971392,0,0,0,12495110144,True
83.5,H2-summary,0.0,65306624,21946793984,16837378048,15142961152,13731397632,0,21639086080,0,0,0,12495110144,True
85.604,H3-extraction,0.0,1049853952,20935770112,16837378048,15179481088,13726875648,0,21639151616,0,0,0,11564482560,True
87.631,H3-extraction,0.0,418971648,21539700736,16837378048,15222177792,13710376960,0,21639217152,0,0,0,12149522432,True
89.65,H3-extraction,0.0,310591488,21533360128,16839032832,15266086912,13778862080,0,21640413184,0,0,0,12149522432,True
91.667,H3-extraction,0.0,216858624,21646475264,16839720960,15304802304,13721681920,0,21640560640,0,0,0,12149522432,True
93.688,H3-extraction,0.0,180944896,21664956416,16839720960,15347302400,13693730816,0,21640626176,0,0,0,12151373824,True
95.721,H3-extraction,0.0,1150205952,20662042624,16839655424,15384674304,13693861888,0,21640740864,0,0,0,11171872768,True
97.851,H3-extraction,0.0,1119780864,20655439872,16839573504,15425241088,13693861888,0,21640806400,0,0,0,11171872768,True
99.989,H3-summary,0.0,1083867136,20637761536,16839688192,15470919680,13692436480,0,21641019392,0,0,0,11171889152,True
102.018,H3-summary,0.0,938442752,20728037376,16840687616,15504031744,13712539648,0,21643542528,0,0,0,11171889152,True
104.041,H3-summary,0.0,994361344,20663418880,16840671232,15535767552,13693337600,0,21643673600,0,0,0,11171889152,True
106.059,H3-summary,0.0,951189504,20662321152,16840671232,15573286912,13694681088,0,21643739136,0,0,0,11171889152,True
108.084,H3-summary,0.0,908312576,20674412544,16840671232,15616065536,13684506624,0,21643804672,0,0,0,11171889152,True
110.118,H3-summary,0.0,874348544,20678688768,16840704000,15660105728,13678084096,0,21643886592,0,0,0,11171889152,True
112.2,H3-summary,0.0,811237376,20637483008,16840818688,15703932928,13736607744,0,21644165120,0,0,0,11171889152,True
114.328,H4-extraction,0.0,63291392,20603240448,17061707776,15682682880,14320254976,0,21930885120,0,0,0,11172118528,True
116.366,H4-extraction,0.0,723910656,20546060288,17059315712,15722954752,13671366656,0,21931245568,0,0,0,11172151296,True
118.387,H4-extraction,0.0,957841408,20524171264,17059299328,15768715264,13416611840,0,21931360256,0,0,0,11172151296,True
120.408,H4-extraction,0.0,764968960,20275101696,17059086336,15814770688,13820788736,0,21932949504,0,0,0,11172167680,True
122.431,H4-extraction,0.0,767229952,20258324480,17059119104,15859859456,13770506240,0,21933391872,0,0,0,11172184064,True
124.456,H4-extraction,0.0,522027008,20230602752,17038032896,15908618240,14033223680,0,21935800320,0,0,0,11172265984,True
126.501,H4-extraction,0.0,583090176,20417560576,17038983168,15950790656,13739458560,0,21935980544,0,0,0,11172265984,True
128.617,H4-extraction,0.0,635437056,20413874176,17038983168,15994306560,13653884928,0,21936046080,0,0,0,11172282368,True
130.816,H4-extraction,0.0,746782720,20088586240,17019240448,16043507712,13835534336,0,21936111616,0,0,0,11172282368,True
133.203,H4-extraction,0.0,733593600,20377698304,17019092992,16090824704,13506936832,0,21936668672,0,0,0,11172298752,True
135.381,H4-summary,0.0,868286464,20395819008,17018568704,16138878976,13313130496,0,21936734208,0,0,0,11184734208,True
137.401,H4-summary,0.0,181174272,20826210304,17019011072,16182820864,13519110144,0,21937012736,0,0,0,11838341120,True
139.426,H4-summary,0.0,128368640,20841152512,17018978304,16229875712,13510737920,0,21937143808,0,0,0,11838341120,True
141.478,H4-summary,0.0,221446144,20740112384,17008574464,16224174080,13529202688,0,21941878784,0,0,0,11838341120,True
143.497,H4-summary,0.0,144932864,20750811136,17023664128,16289857536,13523320832,0,21964161024,0,0,0,11838357504,True
145.522,H4-summary,0.0,66060288,20771504128,17023287296,16361439232,13505036288,0,21994897408,0,0,0,11838357504,True
147.554,H4-summary,0.0,70303744,20717928448,17024696320,16415604736,13501906944,0,22009757696,0,0,0,11838357504,True
149.643,H4-summary,0.0,98779136,20613595136,17032085504,16469458944,13520404480,0,22018359296,0,0,0,11838357504,True
151.715,H4-summary,0.0,85524480,20601552896,17031512064,16520183808,13489897472,0,22029418496,0,0,0,11838357504,True
153.799,H4-summary,0.0,69943296,20542750720,17031938048,16577314816,13510164480,0,22039953408,0,0,0,11838357504,True
155.916,merged-summary-synthesis,0.0,74137600,20488257536,17031626752,16642949120,13492781056,0,22060154880,0,0,0,11838390272,True
157.942,merged-summary-synthesis,0.0,111525888,20319535104,17034149888,16744775680,13521240064,0,22119202816,0,0,0,11838423040,True
159.963,merged-summary-synthesis,0.0,73924608,20304478208,17035984896,16821551104,13499138048,0,22164668416,0,0,0,11838423040,True
161.987,merged-summary-synthesis,0.0,62128128,20218920960,17049419776,16905207808,13491699712,0,22194356224,0,0,0,11838423040,True
164.034,merged-summary-synthesis,0.0,74219520,20175273984,17043488768,16959471616,13486440448,0,22208331776,0,0,0,11838423040,True
166.152,merged-summary-synthesis,0.0,79151104,20104806400,17045520384,17013932032,13492305920,0,22217637888,0,0,0,11838423040,True
168.252,merged-summary-synthesis,0.0,1192361984,18954944512,17044291584,17058627584,13486096384,0,22224453632,0,0,0,10682564608,True
170.343,merged-summary-synthesis,0.0,1146552320,18942214144,17042489344,17111875584,13492305920,0,22230286336,0,0,0,10682564608,True
172.413,merged-summary-synthesis,0.0,1100660736,18945835008,17043243008,17163108352,13488668672,0,22238085120,0,0,0,10682580992,True
174.524,merged-summary-synthesis,0.0,1009123328,18947194880,17062805504,17230594048,13489209344,0,22249684992,0,0,0,10682580992,True
176.63,merged-summary-synthesis,0.0,974553088,18948751360,17045684224,17270996992,13490520064,0,22255845376,0,0,0,10682548224,True
178.728,merged-summary-synthesis,0.0,927268864,18926108672,17045438464,17316184064,13516570624,0,22260465664,0,0,0,10682564608,True
180.83,merged-summary-synthesis,0.0,880164864,18949767168,17047142400,17366302720,13493075968,0,22265806848,0,0,0,10682564608,True
182.921,merged-summary-synthesis,0.0,826982400,18943442944,17048059904,17419911168,13497712640,0,22274359296,0,0,0,10682613760,True
185.037,merged-summary-synthesis,0.0,746930176,18949750784,17048584192,17503141888,13487489024,0,22310699008,0,0,0,10682679296,True
187.164,merged-summary-synthesis,0.0,661422080,18944442368,17069293568,17565646848,13493485568,0,22337847296,0,0,0,10682695680,True
189.264,merged-summary-synthesis,0.0,622116864,18942623744,17049714688,17627922432,13491585024,0,22362603520,0,0,0,10682712064,True
191.328,merged-summary-synthesis,0.0,583057408,18939592704,17050058752,17665294336,13495533568,0,22370811904,0,0,0,10682712064,True
193.422,merged-summary-synthesis,0.0,526794752,18944819200,17051451392,17716396032,13491683328,0,22377562112,0,0,0,10682728448,True
195.52,merged-summary-synthesis,0.0,471400448,18946195456,17052336128,17773543424,13493092352,0,22386835456,0,0,0,10682712064,True
197.594,merged-summary-synthesis,0.0,379879424,18950979584,17053319168,17860214784,13490798592,0,22403858432,0,0,0,10682728448,True
199.722,full-source-control,0.0,378945536,18919555072,17055891456,17894817792,13490454528,0,22414852096,0,0,0,10684268544,True
201.756,full-source-control,0.0,223477760,18948669440,17055416320,17991041024,13508362240,0,22478766080,0,0,0,10684334080,True
203.779,full-source-control,0.0,150077440,18955681792,17055514624,18066817024,13502431232,0,22541729792,0,0,0,10684334080,True
205.802,full-source-control,0.0,93372416,18915147776,17060233216,18154438656,13509132288,0,22620372992,0,0,0,10684334080,True
207.82,full-source-control,0.0,90619904,18877595648,17054187520,18208931840,13503086592,0,22693969920,0,0,0,10684841984,True
209.842,full-source-control,0.0,258949120,18864390144,17047764992,18048155648,13511213056,0,22792470528,0,0,0,10686939136,True
211.863,full-source-control,0.0,68091904,18525569024,17104338944,18526633984,13502906368,0,23013785600,0,0,0,10689101824,True
213.887,full-source-control,0.0,88489984,18384551936,17244897280,18506268672,13509394432,0,23014080512,0,0,0,10690183168,True
