elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,0.0,1527644160,12048596992,50281398272,58720256,1885683712,1930018816,241193713664,102334464,0,0,1032192,True
2.03,loading,0.0,62685184,12199624704,13524664320,49643520,39958560768,1929986048,241197907968,102334464,0,0,37786533888,True
2.077,development-extraction,0.0,69533696,12202934272,13515030528,50020352,39958593536,1929986048,241198399488,102334464,0,0,37790285824,True
4.104,development-extraction,0.0,174456832,12254887936,13362659328,50135040,39959494656,1929953280,241198678016,102334464,0,0,37962678272,True
6.127,development-extraction,0.0,68239360,12411420672,13311967232,49954816,39959085056,1929936896,241198743552,102432768,0,0,38119243776,True
8.145,development-extraction,0.0,70860800,12584550400,13135036416,49692672,39959511040,1929904128,241198891008,102498304,0,0,38277709824,True
10.171,development-extraction,0.0,65077248,12584943616,13135036416,49954816,39959379968,1929904128,241198956544,102498304,0,0,38277791744,True
12.202,development-summary,0.0,71319552,12588187648,13136183296,51527680,39958282240,1929854976,241200381952,102498304,0,0,38380421120,True
14.237,development-summary,0.0,68435968,12894519296,12820512768,50053120,39959724032,1929854976,241201004544,102940672,0,0,38967984128,True
16.262,development-summary,0.0,95977472,12877512704,12815319040,50249728,39959314432,1929805824,241201152000,103120896,0,0,38968000512,True
18.283,development-summary,0.0,103202816,12860768256,12831309824,50544640,39956692992,1929789440,241201217536,103120896,0,0,39124353024,True
20.308,development-summary,0.0,101072896,12861325312,12831309824,51036160,39956561920,1929789440,241201283072,103120896,0,0,39124385792,True
22.329,development-summary,0.0,92651520,12876070912,12828065792,48463872,39956578304,1929789440,241201676288,103563264,0,0,39124451328,True
24.361,development-summary,0.0,92766208,12875546624,12828049408,49610752,39956512768,1929723904,241202348032,103563264,0,0,39124500480,True
26.407,H1-extraction,0.0,67059712,12747407360,12683902976,49364992,40248377344,1929723904,241202413568,103563264,0,0,39191478272,True
28.441,H1-extraction,0.0,96813056,12723830784,12690587648,50036736,40235565056,1929691136,241202511872,103563264,0,0,39348322304,True
30.465,H1-extraction,0.0,160038912,12822118400,12806438912,53444608,39956004864,1929674752,241204199424,103563264,0,0,39348633600,True
32.489,H1-extraction,0.0,241991680,12771164160,12774178816,53886976,39955955712,1929674752,241204477952,103563264,0,0,39349010432,True
34.511,H1-extraction,0.0,281411584,12727959552,12773883904,54263808,39955808256,1929134080,241204625408,103563264,0,0,39351042048,True
36.535,H1-extraction,0.0,308805632,12705218560,12772179968,54444032,39956054016,1929101312,241204690944,103563264,0,0,39351074816,True
38.559,H1-extraction,0.0,336265216,12693553152,12764659712,54591488,39956054016,1929084928,241204756480,103563264,0,0,39351123968,True
40.591,H1-extraction,0.0,376750080,12651380736,12764659712,54902784,39956070400,1929084928,241204822016,103563264,0,0,39351123968,True
42.633,H1-summary,0.0,357335040,12859392000,12787449856,55066624,39743684608,1929068544,241204903936,103563264,0,0,39386841088,True
44.663,H1-summary,0.0,102432768,12790382592,12893683712,55345152,39956365312,1929068544,241205510144,103563264,0,0,39602044928,True
46.687,H1-summary,0.0,102940672,12795543552,12894011392,56229888,39956365312,1927692288,241205706752,103563264,0,0,39602044928,True
