model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
qwen35-122b-iq2xxs,development-extraction,ok,2452,159,0,6.05049020899969,9.903766166999048,9.929144208999787,102,98,96,2,0,40.74053923455746,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,development-summary,ok,2388,327,0,5.679841291001139,13.7216944160009,13.74725408300037,233,219,212,7,0,40.41190891849922,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H1-extraction,ok,3595,243,0,8.711481333999473,14.699753416998647,14.725614208999104,162,154,150,4,0,40.24252607324905,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H1-summary,ok,3489,352,0,8.526105334000022,17.68324025000038,17.710848417000307,229,213,205,8,0,38.218071006562724,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H2-extraction,ok,3733,276,0,9.583917207999548,17.065103708000606,17.094692374999795,177,169,165,4,0,36.61788188322971,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H2-summary,ok,3630,346,0,9.195518291000553,18.946089749999373,18.975521291000405,234,214,204,10,0,35.27809363317327,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H3-extraction,ok,3379,192,0,8.919029500000761,14.33859570900131,14.368841500001508,111,99,99,4,0,35.05134471456002,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H3-summary,ok,3275,294,0,8.686839750000217,17.377394207998805,17.408399250000002,228,228,228,0,0,33.59695668905088,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H4-extraction,ok,4181,262,0,11.597181667000768,19.53969433400016,19.574310875001174,173,165,161,4,0,32.72099521972588,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H4-summary,ok,4086,468,0,11.505053333001342,25.98496404100115,26.018182333000368,295,271,259,12,0,32.17835989449081,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,full-source-control,ok,13916,692,0,42.1792609160002,64.75958637500116,64.79251000000113,500,476,464,12,0,30.55830870242257,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,merged-summary-synthesis,ok,1664,1459,0,4.861636499999804,49.405468875000224,49.437734417000684,986,926,896,30,0,32.708140484110544,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
