model_id,request,status,visible_tokens_retokenized,first_content_delta_seconds,first_readable_delta_seconds,last_content_delta_seconds,visible_phase_seconds,wall_seconds,visible_phase_tokens_per_second,visible_tokens_per_total_wall_second
qwen38-27b,development-extraction,ok,133,11.700014416999693,11.700014416999693,18.430620916999942,6.730606500000249,18.48855625000033,19.7604777518928,7.193639038202219
qwen38-27b,development-summary,ok,473,11.001083208999262,11.001083208999262,35.90101004200005,24.89992683300079,35.95854808399963,18.996039754346413,13.154034998717577
qwen38-27b,H1-extraction,ok,287,17.210741542000505,17.210741542000505,34.253116333000435,17.04237479099993,34.315168832999916,16.84037603442242,8.363648198752276
qwen38-27b,H1-summary,ok,418,17.65608337499998,17.65608337499998,44.40841154099962,26.752328165999643,44.4758851659999,15.624808330934318,9.39835145359951
qwen38-27b,H2-extraction,ok,258,19.89449287499974,19.89449287499974,37.033687582999846,17.139194708000105,37.10127058299986,15.053215999674284,6.953939742382245
qwen38-27b,H2-summary,ok,471,18.925547208000353,18.925547208000353,51.022275333000835,32.09672812500048,51.08830733300056,14.674392921474544,9.219330695964494
qwen38-27b,H3-extraction,ok,271,17.681849624999813,17.681849624999813,35.99410791700029,18.31225829200048,36.063217791999705,14.798830143106029,7.514581798081226
qwen38-27b,H3-summary,ok,471,17.454675709000185,17.454675709000185,49.31251287499981,31.857837165999626,49.381258000000344,14.784431144706716,9.538031615152386
qwen38-27b,H4-extraction,ok,241,22.15848358399944,22.15848358399944,38.23605045899967,16.07756687500023,38.30373787499957,14.989830356404383,6.29181415104916
qwen38-27b,H4-summary,ok,490,21.825473666999642,21.825473666999642,54.85392033399967,33.028446667000026,54.92451762499968,14.835696178518065,8.92133460953637
qwen38-27b,merged-summary-synthesis,ok,1830,10.25614187500014,10.25614187500014,133.7437982499996,123.48765637499946,133.81111408299967,14.819294929711617,13.675994049828306
qwen38-27b,full-source-control,ok,762,76.15569337499983,76.15569337499983,129.7818350839998,53.62614170899997,129.85664937500042,14.209487681119432,5.868009098244127
