elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,0.0,63832064,24739233792,34572337152,6498844672,1853112320,0,50367873024,49152,0,0,0,True
0.001,0.0,66846720,24739069952,34572337152,6499221504,1853210624,0,50367922176,49152,0,0,884736,True
2.016,0.0,62406656,23940366336,18209456128,5730336768,19775635456,0,50369789952,49152,0,0,17356898304,True
4.036,0.0,432619520,23884840960,18202083328,5763743744,19442614272,0,50370183168,49152,0,0,17286922240,True
6.062,0.0,436584448,23843520512,18201853952,5809127424,19441385472,0,50370297856,49152,0,0,17286627328,True
8.088,0.0,412172288,23826284544,18201739264,5847367680,19441385472,0,50370363392,49152,0,0,17286627328,True
10.107,0.0,418021376,23785734144,18198495232,5891260416,19441238016,0,50370428928,49152,0,0,17286610944,True
12.126,0.0,378044416,23785340928,18198216704,5934841856,19441287168,0,50370494464,49152,0,0,17286610944,True
14.15,0.0,343261184,23785144320,18179325952,5981044736,19441352704,0,50370560000,49152,0,0,17286610944,True
16.173,0.0,290930688,23785537536,18179309568,6029295616,19441418240,0,50370674688,49152,0,0,17286610944,True
18.201,0.0,1008091136,35537010688,23222353920,6109659136,1853374464,0,50370740224,49152,0,0,0,True
