elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,0.0,128188416,19710476288,45792165888,82247680,1875918848,135774208,130346106880,73351168,0,0,0,True
0.001,0.0,122470400,19710738432,45792198656,82690048,1876017152,135774208,130346418176,73351168,0,0,7274496,True
2.025,0.0,85557248,17301684224,15846916096,1643610112,32714129408,135774208,130350088192,77299712,0,0,30496063488,True
4.041,0.0,94273536,17266606080,15839215616,1686290432,32713441280,135757824,130350350336,77299712,0,0,30496063488,True
6.057,0.0,111476736,17232281600,15837839360,1693925376,32713834496,135692288,130352480256,77299712,0,0,30495866880,True
8.081,0.0,92536832,17216405504,15837003776,1731870720,32713080832,135692288,130352545792,77299712,0,0,30495866880,True
10.095,0.0,85098496,17187733504,15830319104,1770323968,32713883648,135675904,130352644096,77299712,0,0,30495866880,True
12.122,0.0,59572224,17194598400,15829614592,1797570560,32713375744,135675904,130352807936,77299712,0,0,30495866880,True
14.138,0.0,74579968,17194008576,15829401600,1783709696,32714096640,135675904,130352955392,77299712,0,0,30495997952,True
16.154,0.0,81444864,17212866560,15829483520,1758412800,32713818112,135626752,130354413568,77299712,0,0,30495997952,True
18.179,0.0,166166528,17335320576,15907864576,1475313664,32714244096,135430144,130354610176,77299712,0,0,30495965184,True
20.196,0.0,204488704,17269522432,15907831808,1509736448,32713506816,135430144,130354675712,77299712,0,0,30495965184,True
22.215,0.0,153534464,17264558080,15907471360,1548779520,32714080256,135413760,130354741248,77299712,0,0,30495965184,True
24.235,0.0,141197312,17240571904,15906799616,1586282496,32713474048,135413760,130354855936,77299712,0,0,30495965184,True
26.252,0.0,344293376,17224318976,15885942784,1623818240,32514752512,135413760,130355904512,77299712,0,0,30413602816,True
28.273,0.0,357875712,17182261248,15885893632,1659994112,32514752512,135413760,130355970048,77299712,0,0,30413602816,True
30.29,0.0,428474368,17182752768,15771009024,1697742848,32514490368,135413760,130356035584,77299712,0,0,30413602816,True
32.314,0.0,373080064,17197416448,15770927104,1738162176,32514768896,135413760,130356215808,77299712,0,0,30413602816,True
34.333,0.0,348864512,17197121536,15753166848,1778139136,32514015232,135413760,130356330496,77299712,0,0,30413602816,True
36.355,0.0,293666816,17217683456,15753052160,1819066368,32513998848,135397376,130356494336,77299712,0,0,30413635584,True
38.38,0.0,257245184,17218469888,15736193024,1863712768,32514031616,135397376,130356559872,77299712,0,0,30413635584,True
40.398,0.0,393576448,17218273280,15567273984,1903001600,32513933312,135397376,130356625408,77299712,0,0,30413635584,True
42.422,0.0,330760192,17233510400,15567159296,1941979136,32513933312,135397376,130356690944,77299712,0,0,30413635584,True
44.441,0.0,331644928,17233641472,15548776448,1966391296,32514359296,135397376,130356805632,77299712,0,0,30413635584,True
46.466,0.0,206536704,17316233216,15548416000,2002223104,32517652480,135397376,130357526528,77299712,0,0,30413635584,True
48.482,0.0,182042624,17316298752,15548416000,2034221056,32517652480,135397376,130357592064,77299712,0,0,30413635584,True
50.507,0.0,145375232,17316216832,15548366848,2070691840,32517455872,135397376,130357657600,77299712,0,0,30413635584,True
52.528,0.0,118456320,17312432128,15544631296,2106949632,32517193728,135397376,130357723136,77299712,0,0,30413635584,True
54.553,0.0,67108864,17312350208,15544631296,2145402880,32517177344,135397376,130357837824,77299712,0,0,30413635584,True
56.585,0.0,219070464,17265885184,15406284800,2181234688,32517111808,135397376,130357903360,77299712,0,0,30413635584,True
58.608,0.0,62554112,17272684544,15392489472,2067267584,32800636928,135397376,130357968896,77299712,0,0,30413635584,True
60.633,0.0,114950144,17457463296,15424045056,2083700736,32517128192,135397376,130358034432,77299712,0,0,30413635584,True
