elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,0.0,68239360,11906646016,51926335488,22806528,1896382464,1912782848,289342750720,107118592,0,0,0,True
0.001,0.0,62914560,11906564096,51926401024,23822336,1896480768,1912782848,289343668224,107118592,0,0,688128,True
2.023,0.0,64716800,7727169536,7678181376,25821184,50320982016,1912782848,289374994432,107134976,0,0,48194994176,True
4.046,0.0,61505536,7562412032,7630848000,25985024,50539331584,1912750080,289375289344,107134976,0,0,48213147648,True
6.069,0.0,107036672,7578828800,7566360576,26001408,50539347968,1912750080,289375354880,107134976,0,0,48212951040,True
8.092,0.0,104005632,7577468928,7566082048,26034176,50541035520,1912750080,289375420416,107134976,0,0,48213000192,True
10.112,0.0,123387904,7583563776,7543406592,25427968,50541101056,1912750080,289375879168,107429888,0,0,48213000192,True
12.131,0.0,125730816,7580483584,7545798656,25739264,50541117440,1912635392,289375977472,107429888,0,0,48213000192,True
14.154,0.0,124796928,7583432704,7545782272,26443776,50539200512,1912619008,289376043008,107429888,0,0,48213000192,True
16.171,0.0,121831424,7581302784,7548223488,26443776,50539216896,1912602624,289376141312,107429888,0,0,48213000192,True
18.184,0.0,343818240,7582285824,7544422400,26509312,50328666112,1912602624,289376370688,107429888,0,0,48151232512,True
20.208,0.0,339099648,7582892032,7543406592,26656768,50328616960,1912602624,289376501760,107429888,0,0,48151232512,True
22.232,0.0,352288768,7579959296,7537704960,26673152,50328600576,1912602624,289376567296,107429888,0,0,48151232512,True
24.252,0.0,357072896,7579959296,7537836032,26673152,50328600576,1912602624,289376632832,107429888,0,0,48151232512,True
26.277,0.0,345423872,7579566080,7537754112,26673152,50328584192,1912602624,289376698368,107429888,0,0,48151232512,True
28.301,0.0,504561664,7501742080,7459274752,26836992,50323030016,1912602624,289376763904,107429888,0,0,48151232512,True
30.324,0.0,488144896,7511506944,7470383104,27394048,50323046400,1912569856,289376960512,107429888,0,0,48151232512,True
32.348,0.0,497401856,7507853312,7465680896,27410432,50323046400,1912569856,289377026048,107429888,0,0,48151232512,True
34.371,0.0,498728960,7506919424,7465746432,27410432,50323046400,1912553472,289377091584,107429888,0,0,48151232512,True
36.394,0.0,495403008,7506673664,7465762816,27410432,50323013632,1912553472,289377157120,107429888,0,0,48151232512,True
38.418,0.0,496156672,7506362368,7465697280,27410432,50323013632,1912487936,289377222656,107429888,0,0,48151232512,True
40.44,0.0,536576000,7486242816,7448920064,27213824,50323046400,1912487936,289377337344,107429888,0,0,48151232512,True
42.459,0.0,241745920,7489552384,7450492928,27312128,50609061888,1912487936,289377402880,107429888,0,0,48151232512,True
44.483,0.0,330448896,7566884864,7577436160,27312128,50322391040,1912487936,289377468416,107429888,0,0,48151232512,True
46.507,0.0,399278080,7500152832,7577305088,27344896,50322407424,1912487936,289377533952,107429888,0,0,48151232512,True
48.53,0.0,429654016,7468220416,7577174016,27361280,50322505728,1912471552,289377599488,107429888,0,0,48151232512,True
50.548,0.0,509394944,7425376256,7538065408,27443200,50322456576,1912471552,289377714176,107429888,0,0,48151232512,True
52.572,0.0,471842816,7463223296,7534526464,27459584,50322456576,1912455168,289377779712,107429888,0,0,48151232512,True
54.599,0.0,513835008,7420116992,7531249664,27475968,50322456576,1912455168,289377845248,107429888,0,0,48151232512,True
56.615,0.0,510410752,7419871232,7531249664,27475968,50322456576,1912455168,289377910784,107429888,0,0,48151232512,True
58.639,0.0,552271872,7382040576,7531216896,27475968,50322178048,1912455168,289377976320,107429888,0,0,48151232512,True
60.663,0.0,546340864,7381843968,7531200512,27557888,50322178048,1912455168,289378091008,107429888,0,0,48151232512,True
62.687,0.0,418250752,7545995264,7502086144,30932992,50322112512,1912438784,289378156544,107429888,0,0,48151232512,True
64.707,0.0,841973760,11080040448,34062057472,31031296,19805929472,1912438784,289378402304,107429888,0,0,0,True
