elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,0.0,97435648,11688296448,52075069440,49168384,1884979200,1934196736,241137745920,101269504,0,0,0,True
0.001,0.0,102072320,11682889728,52075134976,50266112,1884815360,1934196736,241138745344,101269504,0,0,688128,True
2.015,0.0,99926016,11865341952,14009450496,53690368,39764819968,1934000128,241169547264,101335040,0,0,37002969088,True
4.039,0.0,95928320,12158222336,14009499648,54788096,39471546368,1933967360,241169629184,101335040,0,0,37003247616,True
6.062,0.0,198950912,12057133056,14009450496,54935552,39471562752,1933967360,241169694720,101335040,0,0,37002919936,True
8.085,0.0,260489216,11998511104,14009335808,55033856,39471546368,1933950976,241169809408,101335040,0,0,37002919936,True
10.106,0.0,560136192,11970756608,14009335808,55099392,39203061760,1933819904,241169940480,101335040,0,0,37011423232,True
12.136,0.0,581058560,11951013888,14009335808,55132160,39202439168,1933787136,241170006016,101335040,0,0,37011439616,True
14.16,0.0,628686848,11904663552,14009335808,55148544,39202471936,1933754368,241170071552,101335040,0,0,37011439616,True
16.183,0.0,629325824,11904532480,14009303040,55148544,39198638080,1933754368,241170137088,101335040,0,0,37011439616,True
18.212,0.0,626950144,11906007040,14009286656,55230464,39198556160,1933492224,241170251776,101335040,0,0,37011439616,True
20.242,0.0,632504320,11905318912,14009106432,55230464,39198490624,1933492224,241170317312,101335040,0,0,37011439616,True
22.271,0.0,641548288,11896799232,14009073664,55230464,39198556160,1933475840,241170382848,101335040,0,0,37011439616,True
24.301,0.0,633323520,11896864768,14009335808,55230464,39198441472,1933475840,241170448384,101335040,0,0,37011439616,True
26.331,0.0,638582784,11896799232,14009335808,55230464,39198556160,1933475840,241170513920,101335040,0,0,37011439616,True
28.359,0.0,631521280,11897290752,14009335808,55312384,39198621696,1933475840,241170628608,101335040,0,0,37011439616,True
30.387,0.0,636665856,11897339904,14009319424,55312384,39198556160,1933475840,241170694144,101335040,0,0,37011439616,True
32.407,0.0,626540544,11906121728,14009434112,55754752,39198556160,1933443072,241170792448,101335040,0,0,37011439616,True
34.43,0.0,629211136,11906646016,14009663488,55607296,39198752768,1933443072,241170857984,101335040,0,0,37011439616,True
36.461,0.0,635437056,11906678784,14009712640,55590912,39198687232,1933443072,241170923520,101335040,0,0,37011439616,True
38.491,0.0,633962496,11906514944,14009696256,55672832,39198703616,1933393920,241171038208,101335040,0,0,37011439616,True
40.521,0.0,1495351296,17506402304,44865044480,55721984,1880965120,1933377536,241171234816,101335040,0,0,0,True
