elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,0.0,799129600,32008257536,30849646592,2199830528,1853997056,16089088,72615444480,3375104,0,0,0,True
0.001,0.0,801865728,32008273920,30849630208,2200289280,1854177280,16089088,72615493632,3375104,0,0,8699904,True
2.026,0.0,67780608,21402894336,19490537472,1894137856,24857411584,16089088,72616722432,3375104,0,0,22437937152,True
4.05,0.0,65896448,21257125888,19615154176,1621770240,25148555264,16089088,72616951808,3375104,0,0,22546841600,True
6.076,0.0,126681088,21347647488,19632455680,1747304448,24856608768,16089088,72617017344,3375104,0,0,22546579456,True
8.102,0.0,87097344,21347729408,19631652864,1789820928,24859721728,16089088,72618377216,3375104,0,0,22546579456,True
10.12,0.0,100450304,21297364992,19631390720,1830977536,24859705344,16089088,72618442752,3375104,0,0,22546595840,True
12.147,0.0,82722816,21272395776,19631013888,1874296832,24859705344,16089088,72618557440,3375104,0,0,22546595840,True
14.173,0.0,71991296,21254946816,19630194688,1892171776,24859525120,16089088,72618622976,3375104,0,0,22546612224,True
16.201,0.0,84918272,21211086848,19623772160,1937866752,24859705344,16089088,72618688512,3375104,0,0,22546628608,True
18.228,0.0,63782912,21211480064,19623477248,1952972800,24859443200,16089088,72618754048,3375104,0,0,22546628608,True
20.248,0.0,1184432128,30768578560,31917015040,1983053824,1858273280,16089088,72618983424,3375104,0,0,0,True
