"run","test","depth","selected_gpu","device","backend","mean_tokens_per_second","sd_tokens_per_second"
"intel-sycl-depth0","Prompt processing 512","0","Intel Arc Pro B70","SYCL0","SYCL","1172.082569","47.775965"
"intel-sycl-depth0","Generation 256","0","Intel Arc Pro B70","SYCL0","SYCL","77.695988","10.265358"
"intel-sycl-depth2048","Generation 256","2048","Intel Arc Pro B70","SYCL0","SYCL","72.83892","0.27241"
"intel-sycl-repeat-depth0","Prompt processing 512","0","Intel Arc Pro B70","SYCL0","SYCL","1252.820604","3.004581"
"intel-sycl-repeat-depth0","Generation 256","0","Intel Arc Pro B70","SYCL0","SYCL","83.505046","0.270528"
"intel-vulkan-depth0","Prompt processing 512","0","Intel Arc Pro B70","Vulkan1","Vulkan","2548.869875","223.324914"
"intel-vulkan-depth0","Generation 256","0","Intel Arc Pro B70","Vulkan1","Vulkan","20.229451","0.169184"
"intel-vulkan-depth2048","Generation 256","2048","Intel Arc Pro B70","Vulkan1","Vulkan","45.68641","0.089258"
"intel-vulkan-repeat-depth0","Prompt processing 512","0","Intel Arc Pro B70","Vulkan1","Vulkan","2945.253634","46.040867"
"intel-vulkan-repeat-depth0","Generation 256","0","Intel Arc Pro B70","Vulkan1","Vulkan","20.430074","0.1271"
"nvidia-cuda-depth0","Prompt processing 512","0","NVIDIA RTX 5060 Laptop GPU","CUDA0","CUDA","2499.242882","198.10784"
"nvidia-cuda-depth0","Generation 256","0","NVIDIA RTX 5060 Laptop GPU","CUDA0","CUDA","67.091562","0.795381"
"nvidia-cuda-depth2048","Generation 256","2048","NVIDIA RTX 5060 Laptop GPU","CUDA0","CUDA","62.005866","1.415181"
"nvidia-vulkan-depth0","Prompt processing 512","0","NVIDIA RTX 5060 Laptop GPU","Vulkan2","Vulkan","2219.146074","162.16902"
"nvidia-vulkan-depth0","Generation 256","0","NVIDIA RTX 5060 Laptop GPU","Vulkan2","Vulkan","64.397618","1.155568"
"nvidia-vulkan-depth2048","Generation 256","2048","NVIDIA RTX 5060 Laptop GPU","Vulkan2","Vulkan","60.081314","0.145006"
"intel-sycl-49b-depth0","Prompt processing 512","0","Intel Arc Pro B70","SYCL0","SYCL","185.733742","0.182183"
"intel-sycl-49b-depth0","Generation 256","0","Intel Arc Pro B70","SYCL0","SYCL","15.988204","0.038298"
"intel-sycl-49b-depth2048","Generation 256","2048","Intel Arc Pro B70","SYCL0","SYCL","15.547394","0.014298"
"intel-sycl-gemma4-26b-depth0","Prompt processing 512","0","Intel Arc Pro B70","SYCL0","SYCL","1089.895706","96.083135"
"intel-sycl-gemma4-26b-depth0","Generation 256","0","Intel Arc Pro B70","SYCL0","SYCL","64.27429","0.174561"
"intel-sycl-gemma4-26b-depth2048","Generation 256","2048","Intel Arc Pro B70","SYCL0","SYCL","56.677035","0.041391"
"intel-sycl-qwen36-35b-depth0","Prompt processing 512","0","Intel Arc Pro B70","SYCL0","SYCL","882.535001","145.248203"
"intel-sycl-qwen36-35b-depth0","Generation 256","0","Intel Arc Pro B70","SYCL0","SYCL","73.334245","0.169815"
"intel-sycl-qwen36-35b-depth2048","Generation 256","2048","Intel Arc Pro B70","SYCL0","SYCL","71.525257","0.889735"
"intel-sycl-qwen38-27b-depth0","Prompt processing 512","0","Intel Arc Pro B70","SYCL0","SYCL","308.945183","1.890944"
"intel-sycl-qwen38-27b-depth0","Generation 256","0","Intel Arc Pro B70","SYCL0","SYCL","20.922442","0.017169"
"intel-sycl-qwen38-27b-depth2048","Generation 256","2048","Intel Arc Pro B70","SYCL0","SYCL","20.418157","0.039988"
"apple-metal-qwen3-8b-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","1223.444555","1.048758"
"apple-metal-qwen3-8b-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","45.428603","0.048200"
"apple-metal-qwen3-8b-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","42.709360","0.171612"
"apple-metal-gemma4-26b-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","1414.080456","8.602482"
"apple-metal-gemma4-26b-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","54.736053","3.076835"
"apple-metal-gemma4-26b-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","47.205022","2.011871"
"apple-metal-evo-gemma12-qat-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","972.908038","0.425738"
